kegg_id,Keq,stdev,bigg_id
R00919,1.12E-11,1.09E-03,PCNOn
R00920,3.25E-03,9.64E-02,
R00921,7.02E-04,6.98E-02,PTA2
R00922,7.42E+04,3.24E-02,MMSAD1m
R00923,2.72E+03,8.92E-03,MMCD
R00924,1.60E-08,7.61E-04,PPCOAOm
R00925,8.20E-02,9.64E-02,
R00927,2.28E-06,1.19E-03,MACCOAT
R00928,1.39E-02,9.25E-02,
R00930,2.53E+00,1.51E-02,
R00931,1.36E-07,5.48E-02,MCITSm
R00932,1.95E-07,5.70E-02,
R00934,3.20E+02,1.34E-03,
R00935,1.02E+05,3.24E-02,MMTSAO
R00936,2.47E-05,3.95E-01,DHFR2i
R00937,8.73E-09,5.05E-02,THFOR1
R00939,1.65E-05,4.12E-01,DHFR
R00940,4.06E-09,5.26E-02,THFOR2
R00941,1.20E+06,5.94E-02,FTHFDH
R00943,6.93E+00,2.16E-01,FTHFLi
R00944,6.08E+03,2.07E-01,FTHFD
R00945,7.27E-02,3.65E-01,GHMT2r
R00946,5.88E+01,1.63E-02,METSm
R00947,8.09E+02,5.24E-01,
R00948,2.42E+01,3.36E-01,GLGC
R00949,6.35E+02,8.54E-02,
R00951,4.39E+04,3.36E-01,ADPGLC
R00952,2.34E-01,2.64E-01,
R00953,3.50E-01,9.64E-02,
R00954,4.12E-01,9.64E-02,
R00955,3.22E+00,2.54E-01,UGLT
R00956,1.33E+00,1.91E-01,G1PCTYT
R00957,1.74E+03,2.25E-01,
R00959,1.98E+01,5.46E-01,PGMTh
R00960,1.17E+01,6.98E-02,
R00961,8.54E-02,7.27E-02,NDP10ex
R00962,3.76E+02,8.54E-02,ITCY
R00963,5.65E+01,3.66E-02,NTD2
R00964,7.47E+02,3.66E-02,URIK1
R00965,1.73E+05,1.14E-03,OMPDC
R00966,3.98E-03,3.11E-02,UPPRT
R00967,2.95E+02,2.17E-02,UTUP
R00968,2.72E+02,3.11E-02,URIK2
R00969,5.34E+06,9.34E-05,
R00970,3.32E+03,3.11E-02,URIK3
R00973,2.31E+03,1.84E-02,
R00974,1.73E+05,3.66E-02,CSND
R00975,1.18E+23,1.23E-02,
R00977,4.84E-01,5.26E-02,DURADx
R00978,3.36E-01,5.26E-02,DURAD
R00980,2.11E+81,3.66E-02,
R00982,4.43E+01,2.09E-03,
R00983,4.59E+78,4.68E-03,
R00985,3.96E+11,5.28E-03,ATNS_nh4
R00986,3.93E+13,5.07E-03,ANS
R00987,3.13E+09,1.84E-01,KYN
R00988,2.92E+05,1.45E-02,
R00989,3.19E+03,7.88E-02,
R00990,8.46E+01,7.27E-02,
R00991,3.09E+25,1.63E-02,
R00993,2.71E+41,1.14E-02,
R00994,2.86E-01,2.35E-02,
R00995,7.05E-05,2.17E-02,
R00996,2.21E+04,3.66E-02,THRD_L
